Folder,Sample,Channel,Background_Value
a,UO1,FSC-A,487046.9063
a,UO1,FSC-H,475686.8125
a,UO1,FSC-Width,1008.981628
a,UO1,SSC-A,188208.0938
a,UO1,SSC-H,170992
a,UO1,B610-A,1062.800049
a,UO1,B610-H,1099.400024
a,UO1,B690-A,180.8000031
a,UO1,B690-H,284.2000122
a,UO1,Y585-A,1363.599976
a,UO1,Y585-H,1837.400024
a,UO1,Y610-A,42.70000076
a,UO1,Y610-H,357.3999939
a,UO1,Y675-A,39.59999847
a,UO1,Y675-H,247.6999969
a,UO1,Y710-A,34.09999847
a,UO1,Y710-H,242.6999969
a,UO1,Y763-A,25.79999924
a,UO1,Y763-H,238.6000061
a,UO1,R660-A,31.20000076
a,UO1,R660-H,235.5
a,UO1,R712-A,40.09999847
a,UO1,R712-H,235.6999969
a,UO1,R763-A,5.099999905
a,UO1,R763-H,404.3999939
a,UO1,V450-A,1271.400024
a,UO1,V450-H,1657.699951
a,UO1,V525-A,313.3999939
a,UO1,V525-H,490.3999939
a,UO1,V610-A,336.7999878
a,UO1,V610-H,521.4000244
a,UO1,V660-A,84.90000153
a,UO1,V660-H,226.1000061
a,UO1,V763-A,129.3999939
a,UO1,V763-H,340.3999939
a,UO1,B525-A,1518.199951
a,UO1,B525-H,1545.900024
a,UO1,Time,188626
a,UO5,FSC-A,487046.9063
a,UO5,FSC-H,475686.8125
a,UO5,FSC-Width,1008.981628
a,UO5,SSC-A,188208.0938
a,UO5,SSC-H,170992
a,UO5,B610-A,1062.800049
a,UO5,B610-H,1099.400024
a,UO5,B690-A,180.8000031
a,UO5,B690-H,284.2000122
a,UO5,Y585-A,1363.599976
a,UO5,Y585-H,1837.400024
a,UO5,Y610-A,42.70000076
a,UO5,Y610-H,357.3999939
a,UO5,Y675-A,39.59999847
a,UO5,Y675-H,247.6999969
a,UO5,Y710-A,34.09999847
a,UO5,Y710-H,242.6999969
a,UO5,Y763-A,25.79999924
a,UO5,Y763-H,238.6000061
a,UO5,R660-A,31.20000076
a,UO5,R660-H,235.5
a,UO5,R712-A,40.09999847
a,UO5,R712-H,235.6999969
a,UO5,R763-A,5.099999905
a,UO5,R763-H,404.3999939
a,UO5,V450-A,1271.400024
a,UO5,V450-H,1657.699951
a,UO5,V525-A,313.3999939
a,UO5,V525-H,490.3999939
a,UO5,V610-A,336.7999878
a,UO5,V610-H,521.4000244
a,UO5,V660-A,84.90000153
a,UO5,V660-H,226.1000061
a,UO5,V763-A,129.3999939
a,UO5,V763-H,340.3999939
a,UO5,B525-A,1518.199951
a,UO5,B525-H,1545.900024
a,UO5,Time,188626
a,UR3,FSC-A,487046.9063
a,UR3,FSC-H,475686.8125
a,UR3,FSC-Width,1008.981628
a,UR3,SSC-A,188208.0938
a,UR3,SSC-H,170992
a,UR3,B610-A,1062.800049
a,UR3,B610-H,1099.400024
a,UR3,B690-A,180.8000031
a,UR3,B690-H,284.2000122
a,UR3,Y585-A,1363.599976
a,UR3,Y585-H,1837.400024
a,UR3,Y610-A,42.70000076
a,UR3,Y610-H,357.3999939
a,UR3,Y675-A,39.59999847
a,UR3,Y675-H,247.6999969
a,UR3,Y710-A,34.09999847
a,UR3,Y710-H,242.6999969
a,UR3,Y763-A,25.79999924
a,UR3,Y763-H,238.6000061
a,UR3,R660-A,31.20000076
a,UR3,R660-H,235.5
a,UR3,R712-A,40.09999847
a,UR3,R712-H,235.6999969
a,UR3,R763-A,5.099999905
a,UR3,R763-H,404.3999939
a,UR3,V450-A,1271.400024
