Folder,Sample,Channel,Pre_Median,Post_Median,Fold_Change,log2_Fold_Change,P_Value,Significance,Is_Primary,Background_Value
a,UO1,Y585-A,1442.1,1560.1001,1.0818252563476562,0.11346748471260071,2.4700166183960126e-36,***,True,1363.5999755859375
a,UO1,B525-A,699.30005,746.3501,1.0672816038131714,0.09394088387489319,0.002407786608882648,**,False,1518.199951171875
a,UO1,V450-A,703.9,800.7001,1.1375195980072021,0.18589140474796295,7.145447706283032e-10,***,False,1271.4000244140625
a,UO1,R660-A,73.2,121.5,1.6598361730575562,0.7310408353805542,2.9689071535046985e-304,***,False,31.200000762939453
a,UO5,Y585-A,1435.05,1767.0001,1.2313159704208374,0.30020102858543396,2.098806591543151e-26,***,False,1363.5999755859375
a,UO5,B525-A,2530.0,3133.7,1.2386165857315063,0.3087296783924103,1.945962655101137e-101,***,False,1518.199951171875
a,UO5,V450-A,1045.7001,1553.2999,1.485416293144226,0.5708673000335693,0.0,***,True,1271.4000244140625
a,UO5,R660-A,77.399994,90.8,1.1731266975402832,0.23035883903503418,1.423094102320641e-25,***,False,31.200000762939453
a,UR3,Y585-A,1584.0,1821.2999,1.149810552597046,0.201396182179451,1.1707966097300166e-05,***,False,1363.5999755859375
a,UR3,B525-A,727.75,1153.0,1.5843353271484375,0.6638777256011963,1.1188199997908616e-252,***,False,1518.199951171875
a,UR3,V450-A,1240.6,2105.8,1.6974045038223267,0.7633303999900818,0.0,***,True,1271.4000244140625
a,UR3,R660-A,58.600002,78.100006,1.3327645063400269,0.4144218862056732,1.0383716232598161e-62,***,False,31.200000762939453
a,UT2,Y585-A,0.0,199.20007,,,2.6710841326972954e-131,***,False,1363.5999755859375
a,UT2,B525-A,33041.2,37383.902,1.1314330101013184,0.1781511753797531,0.0,***,True,1518.199951171875
a,UT2,V450-A,0.0,181.19995,,,0.0,***,False,1271.4000244140625
a,UT2,R660-A,38.2,44.2,1.1570680141448975,0.2104736715555191,6.1011770828401304e-15,***,False,31.200000762939453
a,UT3,Y585-A,297.30005,132.30005,0.4450051486492157,-1.1681060791015625,7.449764200853179e-47,***,False,1363.5999755859375
a,UT3,B525-A,0.0,0.0,,,0.041016327438437576,*,False,1518.199951171875
a,UT3,V450-A,24620.2,37457.203,1.521401286125183,0.6054007411003113,0.0,***,True,1271.4000244140625
a,UT3,R660-A,70.5,52.399998,0.7432623505592346,-0.4280565679073334,3.357645906305525e-86,***,False,31.200000762939453
a,UT5,Y585-A,0.0,442.90002,,,0.0,***,False,1363.5999755859375
a,UT5,B525-A,0.0,50.400024,,,0.0,***,False,1518.199951171875
a,UT5,V450-A,130065.695,164942.69,1.2681490182876587,0.3427242934703827,0.0,***,True,1271.4000244140625
a,UT5,R660-A,38.2,84.2,2.204188346862793,1.1402474641799927,0.0,***,False,31.200000762939453
b,UO4,Y585-A,2851.7,1660.8,0.5823894739151001,-0.7799438238143921,2.9100976296863072e-294,***,False,1753.300048828125
b,UO4,B525-A,1116.9001,469.80005,0.42062851786613464,-1.249381422996521,0.0,***,False,1085.699951171875
b,UO4,V450-A,2344.25,1065.2999,0.45443102717399597,-1.137866735458374,0.0,***,False,885.4000244140625
b,UO4,R660-A,213.79999,332.5,1.5551918745040894,0.6370925903320312,4.9514582224811527e-259,***,True,486.79998779296875
b,UO6,Y585-A,222431.3,236581.11,1.0636142492294312,0.08897501230239868,5.457541775113858e-41,***,False,1753.300048828125
