Folder,Sample,Channel,Background_Value
a,UO1,FSC-A,487046.90625
a,UO1,FSC-H,475686.8125
a,UO1,FSC-Width,1008.9816284179688
a,UO1,SSC-A,188208.09375
a,UO1,SSC-H,170992.0
a,UO1,B610-A,1062.800048828125
a,UO1,B610-H,1099.4000244140625
a,UO1,B690-A,180.8000030517578
a,UO1,B690-H,284.20001220703125
a,UO1,Y585-A,1363.5999755859375
a,UO1,Y585-H,1837.4000244140625
a,UO1,Y610-A,42.70000076293945
a,UO1,Y610-H,357.3999938964844
a,UO1,Y675-A,39.599998474121094
a,UO1,Y675-H,247.6999969482422
a,UO1,Y710-A,34.099998474121094
a,UO1,Y710-H,242.6999969482422
a,UO1,Y763-A,25.799999237060547
a,UO1,Y763-H,238.60000610351562
a,UO1,R660-A,31.200000762939453
a,UO1,R660-H,235.5
a,UO1,R712-A,40.099998474121094
a,UO1,R712-H,235.6999969482422
a,UO1,R763-A,5.099999904632568
a,UO1,R763-H,404.3999938964844
a,UO1,V450-A,1271.4000244140625
a,UO1,V450-H,1657.699951171875
a,UO1,V525-A,313.3999938964844
a,UO1,V525-H,490.3999938964844
a,UO1,V610-A,336.79998779296875
a,UO1,V610-H,521.4000244140625
a,UO1,V660-A,84.9000015258789
a,UO1,V660-H,226.10000610351562
a,UO1,V763-A,129.39999389648438
a,UO1,V763-H,340.3999938964844
a,UO1,B525-A,1518.199951171875
a,UO1,B525-H,1545.9000244140625
a,UO1,Time,188626.0
a,UO5,FSC-A,487046.90625
a,UO5,FSC-H,475686.8125
a,UO5,FSC-Width,1008.9816284179688
a,UO5,SSC-A,188208.09375
a,UO5,SSC-H,170992.0
a,UO5,B610-A,1062.800048828125
a,UO5,B610-H,1099.4000244140625
a,UO5,B690-A,180.8000030517578
a,UO5,B690-H,284.20001220703125
a,UO5,Y585-A,1363.5999755859375
a,UO5,Y585-H,1837.4000244140625
a,UO5,Y610-A,42.70000076293945
a,UO5,Y610-H,357.3999938964844
a,UO5,Y675-A,39.599998474121094
a,UO5,Y675-H,247.6999969482422
a,UO5,Y710-A,34.099998474121094
a,UO5,Y710-H,242.6999969482422
a,UO5,Y763-A,25.799999237060547
a,UO5,Y763-H,238.60000610351562
a,UO5,R660-A,31.200000762939453
a,UO5,R660-H,235.5
a,UO5,R712-A,40.099998474121094
a,UO5,R712-H,235.6999969482422
a,UO5,R763-A,5.099999904632568
a,UO5,R763-H,404.3999938964844
a,UO5,V450-A,1271.4000244140625
a,UO5,V450-H,1657.699951171875
a,UO5,V525-A,313.3999938964844
a,UO5,V525-H,490.3999938964844
a,UO5,V610-A,336.79998779296875
a,UO5,V610-H,521.4000244140625
a,UO5,V660-A,84.9000015258789
a,UO5,V660-H,226.10000610351562
a,UO5,V763-A,129.39999389648438
a,UO5,V763-H,340.3999938964844
a,UO5,B525-A,1518.199951171875
a,UO5,B525-H,1545.9000244140625
a,UO5,Time,188626.0
a,UR3,FSC-A,487046.90625
a,UR3,FSC-H,475686.8125
a,UR3,FSC-Width,1008.9816284179688
a,UR3,SSC-A,188208.09375
a,UR3,SSC-H,170992.0
a,UR3,B610-A,1062.800048828125
a,UR3,B610-H,1099.4000244140625
a,UR3,B690-A,180.8000030517578
a,UR3,B690-H,284.20001220703125
a,UR3,Y585-A,1363.5999755859375
a,UR3,Y585-H,1837.4000244140625
a,UR3,Y610-A,42.70000076293945
a,UR3,Y610-H,357.3999938964844
a,UR3,Y675-A,39.599998474121094
a,UR3,Y675-H,247.6999969482422
a,UR3,Y710-A,34.099998474121094
a,UR3,Y710-H,242.6999969482422
a,UR3,Y763-A,25.799999237060547
a,UR3,Y763-H,238.60000610351562
a,UR3,R660-A,31.200000762939453
a,UR3,R660-H,235.5
a,UR3,R712-A,40.099998474121094
a,UR3,R712-H,235.6999969482422
a,UR3,R763-A,5.099999904632568
a,UR3,R763-H,404.3999938964844
