Folder,Sample,Primary_Channel,Pre_Original,Pre_Filtered,Pre_Percentage,Post_Original,Post_Filtered,Post_Percentage,Background_Values
a,UO1,Y585-A,83924,42507,50.64939707354274,99424,50972,51.267299645960726,"{'FSC-A': 487046.90625, 'FSC-H': 475686.8125, 'FSC-Width': 1008.9816284179688, 'SSC-A': 188208.09375, 'SSC-H': 170992.0, 'B610-A': 1062.800048828125, 'B610-H': 1099.4000244140625, 'B690-A': 180.8000030517578, 'B690-H': 284.20001220703125, 'Y585-A': 1363.5999755859375, 'Y585-H': 1837.4000244140625, 'Y610-A': 42.70000076293945, 'Y610-H': 357.3999938964844, 'Y675-A': 39.599998474121094, 'Y675-H': 247.6999969482422, 'Y710-A': 34.099998474121094, 'Y710-H': 242.6999969482422, 'Y763-A': 25.799999237060547, 'Y763-H': 238.60000610351562, 'R660-A': 31.200000762939453, 'R660-H': 235.5, 'R712-A': 40.099998474121094, 'R712-H': 235.6999969482422, 'R763-A': 5.099999904632568, 'R763-H': 404.3999938964844, 'V450-A': 1271.4000244140625, 'V450-H': 1657.699951171875, 'V525-A': 313.3999938964844, 'V525-H': 490.3999938964844, 'V610-A': 336.79998779296875, 'V610-H': 521.4000244140625, 'V660-A': 84.9000015258789, 'V660-H': 226.10000610351562, 'V763-A': 129.39999389648438, 'V763-H': 340.3999938964844, 'B525-A': 1518.199951171875, 'B525-H': 1545.9000244140625, 'Time': 188626.0}"
a,UO5,V450-A,99910,35178,35.20968871984786,99753,45521,45.63371527673353,"{'FSC-A': 487046.90625, 'FSC-H': 475686.8125, 'FSC-Width': 1008.9816284179688, 'SSC-A': 188208.09375, 'SSC-H': 170992.0, 'B610-A': 1062.800048828125, 'B610-H': 1099.4000244140625, 'B690-A': 180.8000030517578, 'B690-H': 284.20001220703125, 'Y585-A': 1363.5999755859375, 'Y585-H': 1837.4000244140625, 'Y610-A': 42.70000076293945, 'Y610-H': 357.3999938964844, 'Y675-A': 39.599998474121094, 'Y675-H': 247.6999969482422, 'Y710-A': 34.099998474121094, 'Y710-H': 242.6999969482422, 'Y763-A': 25.799999237060547, 'Y763-H': 238.60000610351562, 'R660-A': 31.200000762939453, 'R660-H': 235.5, 'R712-A': 40.099998474121094, 'R712-H': 235.6999969482422, 'R763-A': 5.099999904632568, 'R763-H': 404.3999938964844, 'V450-A': 1271.4000244140625, 'V450-H': 1657.699951171875, 'V525-A': 313.3999938964844, 'V525-H': 490.3999938964844, 'V610-A': 336.79998779296875, 'V610-H': 521.4000244140625, 'V660-A': 84.9000015258789, 'V660-H': 226.10000610351562, 'V763-A': 129.39999389648438, 'V763-H': 340.3999938964844, 'B525-A': 1518.199951171875, 'B525-H': 1545.9000244140625, 'Time': 188626.0}"
a,UR3,V450-A,99048,42586,42.99531540263307,99357,58170,58.54645369727347,"{'FSC-A': 487046.90625, 'FSC-H': 475686.8125, 'FSC-Width': 1008.9816284179688, 'SSC-A': 188208.09375, 'SSC-H': 170992.0, 'B610-A': 1062.800048828125, 'B610-H': 1099.4000244140625, 'B690-A': 180.8000030517578, 'B690-H': 284.20001220703125, 'Y585-A': 1363.5999755859375, 'Y585-H': 1837.4000244140625, 'Y610-A': 42.70000076293945, 'Y610-H': 357.3999938964844, 'Y675-A': 39.599998474121094, 'Y675-H': 247.6999969482422, 'Y710-A': 34.099998474121094, 'Y710-H': 242.6999969482422, 'Y763-A': 25.799999237060547, 'Y763-H': 238.60000610351562, 'R660-A': 31.200000762939453, 'R660-H': 235.5, 'R712-A': 40.099998474121094, 'R712-H': 235.6999969482422, 'R763-A': 5.099999904632568, 'R763-H': 404.3999938964844, 'V450-A': 1271.4000244140625, 'V450-H': 1657.699951171875, 'V525-A': 313.3999938964844, 'V525-H': 490.3999938964844, 'V610-A': 336.79998779296875, 'V610-H': 521.4000244140625, 'V660-A': 84.9000015258789, 'V660-H': 226.10000610351562, 'V763-A': 129.39999389648438, 'V763-H': 340.3999938964844, 'B525-A': 1518.199951171875, 'B525-H': 1545.9000244140625, 'Time': 188626.0}"
a,UT2,B525-A,97145,88265,90.85902516856245,99770,98779,99.0067154455247,"{'FSC-A': 487046.90625, 'FSC-H': 475686.8125, 'FSC-Width': 1008.9816284179688, 'SSC-A': 188208.09375, 'SSC-H': 170992.0, 'B610-A': 1062.800048828125, 'B610-H': 1099.4000244140625, 'B690-A': 180.8000030517578, 'B690-H': 284.20001220703125, 'Y585-A': 1363.5999755859375, 'Y585-H': 1837.4000244140625, 'Y610-A': 42.70000076293945, 'Y610-H': 357.3999938964844, 'Y675-A': 39.599998474121094, 'Y675-H': 247.6999969482422, 'Y710-A': 34.099998474121094, 'Y710-H': 242.6999969482422, 'Y763-A': 25.799999237060547, 'Y763-H': 238.60000610351562, 'R660-A': 31.200000762939453, 'R660-H': 235.5, 'R712-A': 40.099998474121094, 'R712-H': 235.6999969482422, 'R763-A': 5.099999904632568, 'R763-H': 404.3999938964844, 'V450-A': 1271.4000244140625, 'V450-H': 1657.699951171875, 'V525-A': 313.3999938964844, 'V525-H': 490.3999938964844, 'V610-A': 336.79998779296875, 'V610-H': 521.4000244140625, 'V660-A': 84.9000015258789, 'V660-H': 226.10000610351562, 'V763-A': 129.39999389648438, 'V763-H': 340.3999938964844, 'B525-A': 1518.199951171875, 'B525-H': 1545.9000244140625, 'Time': 188626.0}"
a,UT3,V450-A,80849,72801,90.04564063872157,99594,96262,96.65441693274695,"{'FSC-A': 487046.90625, 'FSC-H': 475686.8125, 'FSC-Width': 1008.9816284179688, 'SSC-A': 188208.09375, 'SSC-H': 170992.0, 'B610-A': 1062.800048828125, 'B610-H': 1099.4000244140625, 'B690-A': 180.8000030517578, 'B690-H': 284.20001220703125, 'Y585-A': 1363.5999755859375, 'Y585-H': 1837.4000244140625, 'Y610-A': 42.70000076293945, 'Y610-H': 357.3999938964844, 'Y675-A': 39.599998474121094, 'Y675-H': 247.6999969482422, 'Y710-A': 34.099998474121094, 'Y710-H': 242.6999969482422, 'Y763-A': 25.799999237060547, 'Y763-H': 238.60000610351562, 'R660-A': 31.200000762939453, 'R660-H': 235.5, 'R712-A': 40.099998474121094, 'R712-H': 235.6999969482422, 'R763-A': 5.099999904632568, 'R763-H': 404.3999938964844, 'V450-A': 1271.4000244140625, 'V450-H': 1657.699951171875, 'V525-A': 313.3999938964844, 'V525-H': 490.3999938964844, 'V610-A': 336.79998779296875, 'V610-H': 521.4000244140625, 'V660-A': 84.9000015258789, 'V660-H': 226.10000610351562, 'V763-A': 129.39999389648438, 'V763-H': 340.3999938964844, 'B525-A': 1518.199951171875, 'B525-H': 1545.9000244140625, 'Time': 188626.0}"
a,UT5,V450-A,99517,98857,99.3367967281972,99541,99215,99.672496760129,"{'FSC-A': 487046.90625, 'FSC-H': 475686.8125, 'FSC-Width': 1008.9816284179688, 'SSC-A': 188208.09375, 'SSC-H': 170992.0, 'B610-A': 1062.800048828125, 'B610-H': 1099.4000244140625, 'B690-A': 180.8000030517578, 'B690-H': 284.20001220703125, 'Y585-A': 1363.5999755859375, 'Y585-H': 1837.4000244140625, 'Y610-A': 42.70000076293945, 'Y610-H': 357.3999938964844, 'Y675-A': 39.599998474121094, 'Y675-H': 247.6999969482422, 'Y710-A': 34.099998474121094, 'Y710-H': 242.6999969482422, 'Y763-A': 25.799999237060547, 'Y763-H': 238.60000610351562, 'R660-A': 31.200000762939453, 'R660-H': 235.5, 'R712-A': 40.099998474121094, 'R712-H': 235.6999969482422, 'R763-A': 5.099999904632568, 'R763-H': 404.3999938964844, 'V450-A': 1271.4000244140625, 'V450-H': 1657.699951171875, 'V525-A': 313.3999938964844, 'V525-H': 490.3999938964844, 'V610-A': 336.79998779296875, 'V610-H': 521.4000244140625, 'V660-A': 84.9000015258789, 'V660-H': 226.10000610351562, 'V763-A': 129.39999389648438, 'V763-H': 340.3999938964844, 'B525-A': 1518.199951171875, 'B525-H': 1545.9000244140625, 'Time': 188626.0}"
b,UO4,R660-A,73726,14584,19.781352575753466,57992,30653,52.8572906607808,"{'FSC-A': 653146.5, 'FSC-H': 576131.625, 'FSC-Width': 1075.2451171875, 'SSC-A': 217559.5, 'SSC-H': 202358.0, 'B610-A': 1001.0999755859375, 'B610-H': 1501.9000244140625, 'B690-A': 200.60000610351562, 'B690-H': 374.1000061035156, 'Y585-A': 1753.300048828125, 'Y585-H': 2690.60009765625, 'Y610-A': 77.80000305175781, 'Y610-H': 390.8999938964844, 'Y675-A': 114.0, 'Y675-H': 309.29998779296875, 'Y710-A': 102.0, 'Y710-H': 296.79998779296875, 'Y763-A': 70.9000015258789, 'Y763-H': 275.8999938964844, 'R660-A': 486.79998779296875, 'R660-H': 775.7999877929688, 'R712-A': 503.0, 'R712-H': 793.4000244140625, 'R763-A': 28.5, 'R763-H': 442.70001220703125, 'V450-A': 885.4000244140625, 'V450-H': 1755.699951171875, 'V525-A': 225.3000030517578, 'V525-H': 497.8999938964844, 'V610-A': 270.1000061035156, 'V610-H': 571.2000122070312, 'V660-A': 96.4000015258789, 'V660-H': 259.70001220703125, 'V763-A': 184.89999389648438, 'V763-H': 461.29998779296875, 'B525-A': 1085.699951171875, 'B525-H': 1635.4000244140625, 'Time': 323044.0}"
b,UO6,R660-A,56696,2391,4.217228728658107,74556,20585,27.610118568592735,"{'FSC-A': 653146.5, 'FSC-H': 576131.625, 'FSC-Width': 1075.2451171875, 'SSC-A': 217559.5, 'SSC-H': 202358.0, 'B610-A': 1001.0999755859375, 'B610-H': 1501.9000244140625, 'B690-A': 200.60000610351562, 'B690-H': 374.1000061035156, 'Y585-A': 1753.300048828125, 'Y585-H': 2690.60009765625, 'Y610-A': 77.80000305175781, 'Y610-H': 390.8999938964844, 'Y675-A': 114.0, 'Y675-H': 309.29998779296875, 'Y710-A': 102.0, 'Y710-H': 296.79998779296875, 'Y763-A': 70.9000015258789, 'Y763-H': 275.8999938964844, 'R660-A': 486.79998779296875, 'R660-H': 775.7999877929688, 'R712-A': 503.0, 'R712-H': 793.4000244140625, 'R763-A': 28.5, 'R763-H': 442.70001220703125, 'V450-A': 885.4000244140625, 'V450-H': 1755.699951171875, 'V525-A': 225.3000030517578, 'V525-H': 497.8999938964844, 'V610-A': 270.1000061035156, 'V610-H': 571.2000122070312, 'V660-A': 96.4000015258789, 'V660-H': 259.70001220703125, 'V763-A': 184.89999389648438, 'V763-H': 461.29998779296875, 'B525-A': 1085.699951171875, 'B525-H': 1635.4000244140625, 'Time': 323044.0}"
b,UR4,R660-A,67372,3709,5.505254408359556,72294,9338,12.916701247683072,"{'FSC-A': 653146.5, 'FSC-H': 576131.625, 'FSC-Width': 1075.2451171875, 'SSC-A': 217559.5, 'SSC-H': 202358.0, 'B610-A': 1001.0999755859375, 'B610-H': 1501.9000244140625, 'B690-A': 200.60000610351562, 'B690-H': 374.1000061035156, 'Y585-A': 1753.300048828125, 'Y585-H': 2690.60009765625, 'Y610-A': 77.80000305175781, 'Y610-H': 390.8999938964844, 'Y675-A': 114.0, 'Y675-H': 309.29998779296875, 'Y710-A': 102.0, 'Y710-H': 296.79998779296875, 'Y763-A': 70.9000015258789, 'Y763-H': 275.8999938964844, 'R660-A': 486.79998779296875, 'R660-H': 775.7999877929688, 'R712-A': 503.0, 'R712-H': 793.4000244140625, 'R763-A': 28.5, 'R763-H': 442.70001220703125, 'V450-A': 885.4000244140625, 'V450-H': 1755.699951171875, 'V525-A': 225.3000030517578, 'V525-H': 497.8999938964844, 'V610-A': 270.1000061035156, 'V610-H': 571.2000122070312, 'V660-A': 96.4000015258789, 'V660-H': 259.70001220703125, 'V763-A': 184.89999389648438, 'V763-H': 461.29998779296875, 'B525-A': 1085.699951171875, 'B525-H': 1635.4000244140625, 'Time': 323044.0}"
b,UT4,R660-A,112001,108467,96.84467102972295,59953,59893,99.89992160525745,"{'FSC-A': 653146.5, 'FSC-H': 576131.625, 'FSC-Width': 1075.2451171875, 'SSC-A': 217559.5, 'SSC-H': 202358.0, 'B610-A': 1001.0999755859375, 'B610-H': 1501.9000244140625, 'B690-A': 200.60000610351562, 'B690-H': 374.1000061035156, 'Y585-A': 1753.300048828125, 'Y585-H': 2690.60009765625, 'Y610-A': 77.80000305175781, 'Y610-H': 390.8999938964844, 'Y675-A': 114.0, 'Y675-H': 309.29998779296875, 'Y710-A': 102.0, 'Y710-H': 296.79998779296875, 'Y763-A': 70.9000015258789, 'Y763-H': 275.8999938964844, 'R660-A': 486.79998779296875, 'R660-H': 775.7999877929688, 'R712-A': 503.0, 'R712-H': 793.4000244140625, 'R763-A': 28.5, 'R763-H': 442.70001220703125, 'V450-A': 885.4000244140625, 'V450-H': 1755.699951171875, 'V525-A': 225.3000030517578, 'V525-H': 497.8999938964844, 'V610-A': 270.1000061035156, 'V610-H': 571.2000122070312, 'V660-A': 96.4000015258789, 'V660-H': 259.70001220703125, 'V763-A': 184.89999389648438, 'V763-H': 461.29998779296875, 'B525-A': 1085.699951171875, 'B525-H': 1635.4000244140625, 'Time': 323044.0}"
